"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MX1,MX2";"MXOnly-1U-Hotswap";2;"MX-NoLED";;;
2;"D1,D2";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";2;"WS2812B";;;
3;"C4,C5,C8,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1uF";;;
4;"R4,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
5;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22";;;
6;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"500mah";;;
7;"C2,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"14pF";;;
8;"USB1";"Molex-0548190589";1;"Molex-0548190589";;;
9;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
10;"SW1";"SKQGADE010";1;"SW_Push";;;
11;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega32U2-AU";;;
12;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
13;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"16MHz";;;
